skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
UberDiabSummon	455			14	177																																																							dcloneskele	dclonesummon	99	S1														monster_diablo_taunt_1																																1	6		none												SC	SC	xx																	1									1																				1	7	28	1	1																		15	# normal skeles	10	# skele archers	10	# skele mages	85	%hp for phase 1	60	%hp for phase 2	35	%hp for phase 3					1								8																																				896	80000
A3 Mastery Fire	456																																													merc_passive_mastery		passive_fire_mastery	10 + lvl * 5 + "min(blvl * 5, 384)"	passive_fire_pierce	"min(lvl * 1, 40)"	item_healafterkill	10 + lvl * 2																																																								1	3		none														xx																										1	32																			0	8	0	0	1	1																																	1								8															fire																					512	50000
A3 Mastery Cold	457																																													merc_passive_mastery		passive_cold_mastery	6 + lvl * 4 + "min(blvl * 5, 150)"	passive_cold_pierce	"min(5 + (lvl * 2), 65)"	item_healafterkill	10 + lvl * 2																																																								1	3		none														xx																										1	32																			0	8	0	0	1	1																																	1								8															cold																					512	50000
A3 Mastery Ltng	458																																													merc_passive_mastery		passive_ltng_mastery	30 + lvl * 28 + "min(blvl * 8, 256)"	item_healafterkill	10 + lvl * 2																																																										1	3		none														xx																										1	32																			0	8	0	0	1	1																																	1								8															ltng																					512	50000
Merc Static Field	459		static field		160																34691		staticfield_debuff	325	"min(ln12, 26)"	lightresist	"-min((par5+(lvl<22)?lvl:(22+((lvl-22)/2))), 40)"																																																		sorceress_cast_lightning											light_cast_1																					1	10		none												SC	SC	xx					4												1						sorceress_cast_lightning			1	20												50	1						1	8	9	0	1										par4	damage %	par3	min damage					12	Base radius of effect.	2	Level radius bonus.	0	Minimum Damage.	25	Percent Damage.	20	base -lite res							1								8															ltng																					384	40000
A3 Merc Lightning	460		lightning											lightningbolt																																																															sorceress_cast_lightning											light_cast_1								lightningbolt													1	6		none												SQ	SC	xx	12			1													1						sorceress_cast_lightning			12	20					Charged Bolt								1						1	7	16	1	1																		10	minimum damage	20	max damage	4	increase in dam/level (min & max)									8	damage synergy	1								8															ltng	1	0	0	0	0	0	20	8	16	26	38	50	(skill('Chain Lightning'.blvl)+skill('Charged Bolt'.blvl))*par8								512	50000
A3 Merc Meteor	461		meteor		28												A3 Merc meteorcenter	A3 Merc meteorcenter	A3 Merc meteorcenter						ln12																																																				sorceress_cast_fire											fire_cast_2				28					meteorcenter												1	6		none												SC	SC	xx					4				1								1						sorceress_cast_fire	fire_cast_2		24	20					Fire Ball	Fire Wall						16	1						1	7	34	1	1										ln12	radius							6	radius of explosion	0	radius per level	12	Frames of fire	0	Frames of fire per level					9	ele damage synergy	9	phys damage synergy	1								8		4	5	8	11	14	18	6	5	8	11	14	18	(skill('A3 Merc Fire Ball'.blvl))*par8+(stat('passive_fire_mastery'.accr))	fire	4	5	8	11	14	18	6	5	8	11	14	18	(skill('A3 Merc Fire Ball'.blvl))*par7								768	70000
A3 Merc Fire Ball	462		fire ball											A3 Merc fireball											4 + blvl / 5																																																				sorceress_cast_fire											fire_cast_2								fireball													1	5		none												SC	SC	xx																	1						sorceress_cast_fire			12	20					Fire Bolt								1						1	7	10	1	1																																16	damage synergy	1								7															fire	3	4	6	8	12	18	6	7	9	11	15	21	(skill('A3 Merc Meteor'.blvl))*par8								512	50000
A3 Merc Blizzard	463		blizzard		28												blizzardcenter	blizzardcenter	blizzardcenter																																																										sorceress_cast_cold											ice_cast_3				28					blizzardcenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_cold	ice_cast_3		24	20					Frost Nova	Glacial Spike						25	1						1	7	26	1	1										par1	radius	par3	frequency					7	radius			2	Missile delay	0	Change duration in Missiles.xls							12	damage synergy	1								8															cold	5	2	4	6	8	10	8	6	8	10	12	14	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl))*par8	100							768	70000
A3 Merc Ice Blast	464		ice blast											iceblast																																																															sorceress_cast_cold											ice_cast_1								iceblast													1	6		none												SC	SC	xx																	1						sorceress_cast_cold			6	20					Ice Bolt								1						1	7	12	1	1																		50	Duration of freeze	0	additional duration/level									0	freeze synergy	6	damage synergy	1								7															cold	2	2	4	8	14	20	5	4	6	10	16	22	(skill('Ice Bolt'.blvl)+skill('Glacial Spike'.blvl))*par8	50	0	0	0				384	40000
TraitorBossBlessedAim	465		blessed aim		18																73731	blessedaim	blessedaim	200	ln12	item_tohit_percent	ln34																			penetrate		item_tohit_percent	skill('Blessed Aim'.blvl) * par8																																																											1	1	6		none														xx																										12	20					Might														0	8	0	0	1	1			50														20	radius	2	additional radius per level	75	% attack# bonus	10	% additional attack# bonus	0	?	0	?			10	passive to hit bonus	1								8																																				512	50000
TraitorBossVigor	466		vigor		18																73731	stamina	stamina	200	ln12	staminarecoverybonus	ln34	skill_staminapercent	ln34	velocitypercent	dm56															passive_runwalk		item_fastermovevelocity	blvl/2																																																											1	1	1		none														xx																										18	20					Defiance														0	8	0	0	1	1			50														26	radius	3	additional radius per level	50	% faster stamina recovery and max stamina	25	% additional stamina recovery and max stamina	7	min % speed increase	50	max % speed increase					1								8																																				640	60000
TraitorBossConeJab	467		teeth		8												traitorbossconejavelin																																																												paladin_zeal											warcry			19	17					traitorbossconejavelin	traitorbossconejavelin	traitorbossconejavelin										1	1		none												SC	SC	xx																	1						necromancer_bone_cast			1	20													1						1	7	6	1	1										5	# missiles	10	activation frame					2	number of missiles	1	additional missiles/level	0	Acivation frame of teeth									25	damage synergy	1								8															mag	4	2	2	6	14	22	8	2	4	10	18	26	(skill('Bone Armor'.blvl)+skill('Bone Spear'.blvl)+skill('Bone Spirit'.blvl))*par8+stat('passive_mag_mastery'.accr)								256	30000
TraitorBossStunSpear	468		bone spear		8												traitorbossstunspear	traitorbossstunspear			42371		player_stun	100	5	velocitypercent	-50	attackrate	-100	item_fastercastrate	-100																																														necromancer_bone_cast														19	17					traitorbossstunspear	traitorbossstunspear	bonecast										1	6		none												SC	SC	xx																	1						necromancer_bone_cast			18	20					Teeth								1						1	6	28	1	1										1	# missiles					50														10	Bone Armor Synergy	10	damage synergy	1								8															mag	500	7	9	12	26	46	750	7	9	13	28	50	(skill('Teeth'.blvl)+skill('Bone Spirit'.blvl))*par8+skill('Bone Armor'.blvl)*par7+stat('passive_mag_mastery'.accr)								640	60000
ArcherBossArrowRain	469		blizzard		28												archerbossarrowraincenter	archerbossarrowraincenter	archerbossarrowraincenter																																																										sorceress_cast_lightning											light_cast_1				28					archerbossarrowraincenter												1	7		none												SC	SC	xx					4				1								1						sorceress_cast_lightning			24	20					Frost Nova	Glacial Spike						25	1						1	7	26	1	1										par1	radius	par3	frequency					7	radius			3	Missile delay	0	Change duration in Missiles.xls							12	damage synergy	1								8															ltng	150	6	8	10	12	14	200	8	10	12	14	16									768	70000
ArcherBossBoomerShot	470		multiple shot	4	8												archerbossmultipleshot	archerbossmultipleshot																																																																									11	17					archerbossmultipleshot	archerbossmultipleshot											1	7	1	rng		miss										A1	A1	xx				1													1									6	20					Magic Arrow								1		1				1	5	12	1	1										"min(24,ln12)"	# missiles	par3	activation frame	2	triggered			3	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.			5	base dmg%	5	dmg% per level			8	damage synergy	1	50	20						8	128	1	0	1	2	3	4	2	0	1	2	3	4																							384	40000
ArcherBossCageShot	471		multiple shot	4	8												archerbosscageshot	archerbosscageshot																																																																									11	17					archerbosscageshot	archerbosscageshot											1	7	1	rng		miss										A1	A1	xx				1													1									6	20					Magic Arrow								1		1				1	5	12	1	1										1	# missiles	par3	activation frame	2	triggered			3	number of arrows to fire	1	additional arrows per level	1	Acivation frame of arrows.			5	base dmg%	5	dmg% per level			8	damage synergy	1	50	20						8	128	1	0	1	2	3	4	2	0	1	2	3	4																							384	40000
Mon Conviction	472		conviction		66																42371	conviction	conviction		ln12	skill_armor_percent	-dm56	fireresist	"-min(ln34,150)"	coldresist	"-min(ln34,150)"	lightresist	"-min(ln34,150)"																																																																												1	6		none		mele												xx	5		1																							30	20					Sanctuary														0	8	0	0	1	1	1		50														20	radius	0	additional radius per level	30	% resist reduction	5	% resist reduction per level	40	min % AC reduction	100	max % AC reduction					1								8																																				896	80000
Mon Fanaticism	473		fanaticism		65																73731	fanaticism	fanaticism		ln12	attackrate	dm34	item_tohit_percent	toht	damagepercent	ln56/2																	damagepercent	ln56																																																											1	1	8		none														S1																										30	20					Concentration														0	8	0	0	1	1	1		50														11	radius	1	additional radius per level	10	min% boost	40	max% boost	50	% damage boost	17	% damage bonus per level					1	40	5						8																																				896	80000
Mon Holy Shock	474		holy shock		66																42883	holyshock			ln12																							lightmindam	edns*par5/256	lightmaxdam	edxs*par5/256																																																										1	4		none														xx																										24	20					Holy Freeze														0	8	0	0	1	1	1		25														12	radius	0	additional radius per level					12	damage to attack multiplier	0	?	8	damage synergy	8	damage synergy	1				16385				7															ltng	1						5	7	9	10	13	16	(skill('Resist Lightning'.blvl)+skill('Salvation'.blvl)+skill('Blessed Aim'.blvl))*par8								768	70000
Mon Holy Freeze	475		holy freeze		81																303747	holywind	holywindcold		ln12	velocitypercent	-dm34	attackrate	-dm34	other_animrate	-dm34																	coldmindam	edns*par5/256	coldmaxdam	edxs*par5/256																																																										1	8		none														xx																										18	20					Holy Fire														0	8	0	0	1	1	1		25														12	radius	0	additional radius per level	25	min% slowing	60	max% slowing	10	damage to attack multiplier	0	?	12	damage synergy	12	damage synergy	1				16385				7															cold	4	1	1	2	4	5	6	1	2	3	4	5	(skill('Resist Cold'.blvl)+skill('Salvation'.blvl)+skill('Blessed Aim'.blvl))*par8								640	60000
